ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
EST,0.0663716814159292,Estonia,0.061946902654867256,-0.00442477876106194,83.0,94.0,-11.0
QAT,0.061946902654867256,Qatar,0.05752212389380531,-0.004424778761061947,86.0,97.0,-11.0
MDG,0.04424778761061947,Madagascar,0.03982300884955752,-0.004424778761061947,99.0,112.0,-13.0
TKM,0.022123893805309734,Turkmenistan,0.017699115044247787,-0.004424778761061947,126.0,138.0,-12.0
MAC,0.01327433628318584,"China, Macao SAR",0.008849557522123894,-0.004424778761061947,152.0,163.0,-11.0
BMU,0.008849557522123894,Bermuda,0.004424778761061947,-0.004424778761061947,164.0,176.0,-12.0
DJI,0.008849557522123894,Djibouti,0.004424778761061947,-0.004424778761061947,164.0,176.0,-12.0
GRD,0.008849557522123894,Grenada,0.004424778761061947,-0.004424778761061947,164.0,176.0,-12.0
MHL,0.008849557522123894,Marshall Islands,0.004424778761061947,-0.004424778761061947,164.0,176.0,-12.0
SOM,0.008849557522123894,Somalia,0.004424778761061947,-0.004424778761061947,164.0,176.0,-12.0
TKL,0.008849557522123894,Tokelau,0.004424778761061947,-0.004424778761061947,164.0,176.0,-12.0
CAF,0.004424778761061947,Central African Republic,0.0,-0.004424778761061947,177.0,200.0,-23.0
ERI,0.004424778761061947,Eritrea,0.0,-0.004424778761061947,177.0,200.0,-23.0
KIR,0.004424778761061947,Kiribati,0.0,-0.004424778761061947,177.0,200.0,-23.0
MRT,0.004424778761061947,Mauritania,0.0,-0.004424778761061947,177.0,200.0,-23.0
MSR,0.004424778761061947,Montserrat,0.0,-0.004424778761061947,177.0,200.0,-23.0
NIU,0.004424778761061947,Niue,0.0,-0.004424778761061947,177.0,200.0,-23.0
ITA,0.7212389380530974,Italy,0.7168141592920354,-0.004424778761061954,5.0,5.0,0.0
MUS,0.07079646017699115,Mauritius,0.061946902654867256,-0.008849557522123894,79.0,94.0,-15.0
SEN,0.05752212389380531,Senegal,0.048672566371681415,-0.008849557522123894,89.0,102.0,-13.0
HND,0.035398230088495575,Honduras,0.02654867256637168,-0.008849557522123894,113.0,128.0,-15.0
DZA,0.022123893805309734,Algeria,0.01327433628318584,-0.008849557522123894,126.0,149.0,-23.0
MLI,0.022123893805309734,Mali,0.01327433628318584,-0.008849557522123894,126.0,149.0,-23.0
SWZ,0.01327433628318584,Eswatini,0.004424778761061947,-0.008849557522123894,152.0,176.0,-24.0
MNP,0.008849557522123894,Northern Mariana Islands,0.0,-0.008849557522123894,164.0,200.0,-36.0
SLB,0.008849557522123894,Solomon Islands,0.0,-0.008849557522123894,164.0,200.0,-36.0
LBN,0.36283185840707965,Lebanon,0.35398230088495575,-0.008849557522123908,22.0,23.0,-1.0
LKA,0.2831858407079646,Sri Lanka,0.2743362831858407,-0.008849557522123908,29.0,33.0,-4.0
PHL,0.19469026548672566,Philippines,0.18141592920353983,-0.013274336283185834,41.0,53.0,-12.0
BEN,0.048672566371681415,Benin,0.035398230088495575,-0.01327433628318584,96.0,118.0,-22.0
GTM,0.04424778761061947,Guatemala,0.030973451327433628,-0.01327433628318584,99.0,121.0,-22.0
