ISO3,country,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness,betweenness_weighted,strength_out,strength_in
CHN,China,0.9336283185840708,0.16371681415929204,0.7699115044247787,0.017899834831118573,0.10731563421828909,3920610.513499,5462741.902098
COD,"Congo, Democratic Republic",0.1902654867256637,0.1592920353982301,0.030973451327433628,0.0006528665470851152,0.0,39.476412,411744.96797345
COG,"Congo, Republic",0.16371681415929204,0.13716814159292035,0.02654867256637168,0.00019020775775539092,0.029636184857423795,4624.128823,177022.5328176
CUB,Cuba,0.12831858407079647,0.11946902654867256,0.008849557522123894,6.047222961397762e-05,0.0,0.1973,325160.93569099996
DEU,Germany,0.9424778761061947,0.37168141592920356,0.5707964601769911,0.0345191223355736,0.062123893805309735,279016.295554119,1748614.868639033
ESP,Spain,0.8761061946902655,0.2831858407079646,0.5929203539823009,0.017128759757083344,0.051150442477876104,726176.54101148,402050.62514606
FRA,France,1.0176991150442478,0.41150442477876104,0.6061946902654867,0.06723999987903159,0.026666666666666665,196872.339713416,2070787.89276051
GBR,United Kingdom,0.911504424778761,0.3672566371681416,0.5442477876106194,0.02405644627229273,0.012035398230088496,242892.6630604,1527866.746703768
IND,India,1.1017699115044248,0.2654867256637168,0.8362831858407079,0.04979776583940537,0.08896755162241887,38041585.62886502,39912.6158878
LBR,Liberia,0.1415929203539823,0.11504424778761062,0.02654867256637168,0.00012112666830898894,0.0,321.75488,609737.7789149999
NAM,Namibia,0.2920353982300885,0.17256637168141592,0.11946902654867256,0.016910753215255876,0.01736479842674533,1671.5933389999998,38924.668093232
STP,Sao Tome and Principe,0.11504424778761062,0.11504424778761062,0.0,0.0,0.0,0.0,28171.5544728
ALB,Albania,0.11946902654867256,0.10619469026548672,0.01327433628318584,5.4503022108245684e-05,0.0,43.2056,68970.56312936
MKD,North Macedonia,0.2168141592920354,0.11504424778761062,0.10176991150442477,0.0026183558325090996,0.004326450344149459,12810.41669405,2215.148193473
MNE,Montenegro,0.23008849557522124,0.16814159292035397,0.061946902654867256,0.0013291237057069993,0.0,118.24350899999999,8298.520308699999
RWA,Rwanda,0.18141592920353983,0.1415929203539823,0.03982300884955752,0.0012901873081885278,0.004424778761061947,149147.23208000002,392376.61948812596
AND,Andorra,0.05752212389380531,0.03982300884955752,0.017699115044247787,6.812303529495302e-05,0.0,80.693671,2161.6395679
KIR,Kiribati,0.05752212389380531,0.05752212389380531,0.0,0.0,0.0,0.0,22007.156398
SWZ,Eswatini,0.08849557522123894,0.08407079646017698,0.004424778761061947,0.0008449817692815709,0.008633235004916421,208.321563,88578.290544
ARE,United Arab Emirates,0.8716814159292036,0.3407079646017699,0.5309734513274336,0.03391496037644561,0.08116027531956735,737255.580919235,2897652.6409326303
ARM,Armenia,0.15486725663716813,0.13716814159292035,0.017699115044247787,6.710739871124945e-05,0.0,3.5733718999999997,27681.718076150002
AUS,Australia,0.5530973451327433,0.24778761061946902,0.3053097345132743,0.01415570417356174,0.03354965585054081,634139.576501,1025397.266959
AUT,Austria,0.5176991150442478,0.27876106194690264,0.23893805309734512,0.004208329485031122,0.0,22826.08940126,248652.222311616
AZE,Azerbaijan,0.2079646017699115,0.17699115044247787,0.030973451327433628,0.00021039479544878923,0.0,59.010065,152766.51446993
BDI,Burundi,0.10619469026548672,0.09292035398230089,0.01327433628318584,0.0001434523418566655,0.0,21.418502,10695.65365523
BEL,Belgium,0.8185840707964601,0.3274336283185841,0.4911504424778761,0.019343090239342314,0.03213372664700098,937480.309806571,551670.89638258
BEN,Benin,0.22123893805309736,0.18584070796460178,0.035398230088495575,0.0010557314461371809,0.00019665683382497542,291.599698,3018833.70754502
BFA,Burkina Faso,0.11504424778761062,0.09292035398230089,0.022123893805309734,3.087959990866162e-05,0.00015732546705998033,606.788148,134876.93219808998
BGD,Bangladesh,0.3053097345132743,0.08407079646017698,0.22123893805309736,0.0005109153498100958,0.0,57662.689535,1739288.131858
BGR,Bulgaria,0.4424778761061947,0.18584070796460178,0.25663716814159293,0.0016381188547183085,0.008613569321533922,89014.33859744,63235.7100796315
BHR,Bahrain,0.43805309734513276,0.252212389380531,0.18584070796460178,0.00767082918273587,0.0,2706.92033,324717.81238359
BIH,Bosnia Herzegovina,0.18584070796460178,0.14601769911504425,0.03982300884955752,0.000992562672477783,0.0043461160275319564,268.380486,26673.252635
BRN,Brunei Darussalam,0.1327433628318584,0.07964601769911504,0.05309734513274336,6.649630743401184e-05,0.0,2370.4104479999996,162308.19626477
BTN,Bhutan,0.022123893805309734,0.008849557522123894,0.01327433628318584,0.0,0.0,0.142872,73014.886946
BWA,Botswana,0.10176991150442477,0.07964601769911504,0.022123893805309734,8.125326145326281e-05,0.01718780727630285,102.09229468,139000.0760005
CAF,Central African Republic,0.09734513274336283,0.09734513274336283,0.0,0.0,0.0,0.0,34159.6552106
CHE,Switzerland,0.5221238938053098,0.30973451327433627,0.21238938053097345,0.003774771500910507,0.0,21422.229941695,255906.884479671
CHL,Chile,0.27876106194690264,0.1902654867256637,0.08849557522123894,0.0017030496669713058,0.008633235004916421,10956.773124000001,382126.58003467997
CIV,Cote d'Ivoire,0.2610619469026549,0.1504424778761062,0.11061946902654868,0.0014132092106687243,0.002969518190757129,33178.898221510004,2683239.8312394
CMR,Cameroon,0.2168141592920354,0.16814159292035397,0.048672566371681415,0.002430547705280914,0.042025565388397246,49234.308955,1405347.764522545
COM,Comoros,0.08849557522123894,0.07964601769911504,0.008849557522123894,2.0039263002787225e-05,0.0,126.032027,50943.919682432
DJI,Djibouti,0.0752212389380531,0.07079646017699115,0.004424778761061947,1.1313859472277744e-05,0.0,908.57605,442533.013425
DNK,Denmark,0.5973451327433629,0.25663716814159293,0.3407079646017699,0.007228567174780854,0.016302851524090462,45373.771280973,190417.510671686
EGY,Egypt,0.35398230088495575,0.1415929203539823,0.21238938053097345,0.00109203632028242,0.0,19107.991750999998,625924.7737323827
ERI,Eritrea,0.048672566371681415,0.048672566371681415,0.0,0.0,0.0,0.0,3598.458676
ETH,Ethiopia,0.16371681415929204,0.12389380530973451,0.03982300884955752,0.00450245922509965,0.0043461160275319564,155.465647,866565.368778076
FJI,Fiji,0.1592920353982301,0.08407079646017698,0.0752212389380531,0.0018377922198293992,0.011583087512291052,5625.7479955,109447.65632360001
GAB,Gabon,0.14601769911504425,0.11946902654867256,0.02654867256637168,0.00014328405220497806,0.03341199606686333,2489.81259074,358813.74725847
GEO,Georgia,0.18141592920353983,0.1504424778761062,0.030973451327433628,0.0001941614282886188,0.008692232055063913,1299.618955,58551.632709954
GHA,Ghana,0.3584070796460177,0.26991150442477874,0.08849557522123894,0.01395179177131471,0.013018682399213373,347.993777,1744500.930486255
GIN,Guinea,0.14601769911504425,0.11061946902654868,0.035398230088495575,4.5534214402318065e-05,0.0,180.368125,1244900.813609
GMB,Gambia,0.1504424778761062,0.13716814159292035,0.01327433628318584,7.645961263378173e-05,0.0,15.089907,42735.08834332
