ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
MAC,0.10619469026548672,"China, Macao SAR",0.11946902654867256,0.013274336283185834,104.0,98.0,6.0
JAM,0.08849557522123894,Jamaica,0.10176991150442477,0.013274336283185834,128.0,118.0,10.0
TTO,0.08849557522123894,Trinidad and Tobago,0.10176991150442477,0.013274336283185834,128.0,118.0,10.0
SLV,0.07079646017699115,El Salvador,0.08407079646017698,0.013274336283185834,145.0,140.0,5.0
MEX,0.05309734513274336,Mexico,0.0663716814159292,0.013274336283185834,172.0,163.0,9.0
SLB,0.05309734513274336,Solomon Islands,0.0663716814159292,0.013274336283185834,172.0,163.0,9.0
TJK,0.05309734513274336,Tajikistan,0.0663716814159292,0.013274336283185834,172.0,163.0,9.0
LBN,0.2079646017699115,Lebanon,0.2168141592920354,0.008849557522123908,24.0,34.0,-10.0
PSE,0.1327433628318584,State of Palestine,0.1415929203539823,0.008849557522123908,74.0,80.0,-6.0
LBY,0.10176991150442477,Libya,0.11061946902654868,0.008849557522123908,111.0,110.0,1.0
BRA,0.11504424778761062,Brazil,0.12389380530973451,0.008849557522123894,96.0,93.0,3.0
CPV,0.11504424778761062,Cabo Verde,0.12389380530973451,0.008849557522123894,96.0,93.0,3.0
PER,0.07964601769911504,Peru,0.08849557522123894,0.008849557522123894,138.0,137.0,1.0
SOM,0.061946902654867256,Somalia,0.07079646017699115,0.008849557522123894,156.0,158.0,-2.0
SUR,0.03982300884955752,Suriname,0.048672566371681415,0.008849557522123894,185.0,182.0,3.0
COK,0.022123893805309734,Cook Islands,0.030973451327433628,0.008849557522123894,200.0,193.0,7.0
LSO,0.008849557522123894,Lesotho,0.017699115044247787,0.008849557522123894,212.0,206.0,6.0
BES,0.0,Bonaire,0.008849557522123894,0.008849557522123894,227.0,215.0,12.0
LCA,0.05752212389380531,Saint Lucia,0.0663716814159292,0.008849557522123887,163.0,163.0,0.0
SGP,0.19911504424778761,Singapore,0.2079646017699115,0.00884955752212388,25.0,37.0,-12.0
QAT,0.16371681415929204,Qatar,0.17256637168141592,0.00884955752212388,44.0,54.0,-10.0
NIC,0.0752212389380531,Nicaragua,0.08407079646017698,0.00884955752212388,142.0,140.0,2.0
ITA,0.29646017699115046,Italy,0.3008849557522124,0.004424778761061954,7.0,10.0,-3.0
THA,0.23893805309734512,Thailand,0.24336283185840707,0.004424778761061954,12.0,25.0,-13.0
KOR,0.19469026548672566,"Korea, Republic",0.19911504424778761,0.004424778761061954,28.0,41.0,-13.0
ERI,0.04424778761061947,Eritrea,0.048672566371681415,0.004424778761061947,182.0,182.0,0.0
WSM,0.03982300884955752,Samoa,0.04424778761061947,0.004424778761061947,185.0,184.0,1.0
GUM,0.017699115044247787,Guam,0.022123893805309734,0.004424778761061947,202.0,199.0,3.0
MNP,0.017699115044247787,Northern Mariana Islands,0.022123893805309734,0.004424778761061947,202.0,199.0,3.0
VGB,0.017699115044247787,British Virgin Islands,0.022123893805309734,0.004424778761061947,202.0,199.0,3.0
NRU,0.01327433628318584,Nauru,0.017699115044247787,0.004424778761061947,207.0,206.0,1.0
TCA,0.01327433628318584,Turks and Caicos Islands,0.017699115044247787,0.004424778761061947,207.0,206.0,1.0
NIU,0.008849557522123894,Niue,0.01327433628318584,0.004424778761061947,212.0,211.0,1.0
SPM,0.008849557522123894,Saint Pierre and Miquelon,0.01327433628318584,0.004424778761061947,212.0,211.0,1.0
NFK,0.004424778761061947,Norfolk Islands,0.008849557522123894,0.004424778761061947,220.0,215.0,5.0
CXR,0.0,Christmas Islands,0.004424778761061947,0.004424778761061947,227.0,219.0,8.0
IOT,0.0,British Indian Ocean Territory,0.004424778761061947,0.004424778761061947,227.0,219.0,8.0
GMB,0.13716814159292035,Gambia,0.13716814159292035,0.0,69.0,85.0,-16.0
LBR,0.11504424778761062,Liberia,0.11504424778761062,0.0,96.0,103.0,-7.0
CRI,0.07964601769911504,Costa Rica,0.07964601769911504,0.0,138.0,148.0,-10.0
PRY,0.05309734513274336,Paraguay,0.05309734513274336,0.0,172.0,178.0,-6.0
AND,0.03982300884955752,Andorra,0.03982300884955752,0.0,185.0,186.0,-1.0
SHN,0.01327433628318584,Saint Helena,0.01327433628318584,0.0,207.0,211.0,-4.0
BTN,0.008849557522123894,Bhutan,0.008849557522123894,0.0,212.0,215.0,-3.0
FLK,0.008849557522123894,Falkland Islands (Malvinas),0.008849557522123894,0.0,212.0,215.0,-3.0
SMR,0.004424778761061947,San Marino,0.004424778761061947,0.0,220.0,219.0,1.0
UMI,0.004424778761061947,United States Minor Outlying Islands,0.004424778761061947,0.0,220.0,219.0,1.0
PCN,0.0,Pitcairn,0.0,0.0,227.0,224.0,3.0
CHN,0.16814159292035397,China,0.16371681415929204,-0.004424778761061926,39.0,63.0,-24.0
MDG,0.11946902654867256,Madagascar,0.11504424778761062,-0.00442477876106194,90.0,103.0,-13.0
GIN,0.11504424778761062,Guinea,0.11061946902654868,-0.00442477876106194,96.0,110.0,-14.0
ZWE,0.09734513274336283,Zimbabwe,0.09292035398230089,-0.00442477876106194,116.0,127.0,-11.0
KIR,0.061946902654867256,Kiribati,0.05752212389380531,-0.004424778761061947,156.0,174.0,-18.0
GRD,0.05752212389380531,Grenada,0.05309734513274336,-0.004424778761061947,163.0,178.0,-15.0
PLW,0.05752212389380531,Palau,0.05309734513274336,-0.004424778761061947,163.0,178.0,-15.0
TCD,0.03982300884955752,Chad,0.035398230088495575,-0.004424778761061947,185.0,190.0,-5.0
WLF,0.02654867256637168,Wallis and Futuna Islands,0.022123893805309734,-0.004424778761061947,197.0,199.0,-2.0
CCK,0.004424778761061947,Cocos Islands,0.0,-0.004424778761061947,220.0,224.0,-4.0
ESH,0.004424778761061947,Western Sahara,0.0,-0.004424778761061947,220.0,224.0,-4.0
VAT,0.004424778761061947,Holy See,0.0,-0.004424778761061947,220.0,224.0,-4.0
JOR,0.17256637168141592,Jordan,0.16814159292035397,-0.004424778761061954,37.0,57.0,-20.0
SDN,0.11061946902654868,Former Sudan,0.10619469026548672,-0.004424778761061954,100.0,113.0,-13.0
YEM,0.11061946902654868,Yemen,0.10619469026548672,-0.004424778761061954,100.0,113.0,-13.0
COL,0.09292035398230089,Colombia,0.08849557522123894,-0.004424778761061954,123.0,137.0,-14.0
BOL,0.07079646017699115,Bolivia,0.0663716814159292,-0.004424778761061954,145.0,163.0,-18.0
BEN,0.19469026548672566,Benin,0.18584070796460178,-0.00884955752212388,28.0,45.0,-17.0
GRL,0.08407079646017698,Greenland,0.0752212389380531,-0.00884955752212388,131.0,155.0,-24.0
GNQ,0.08849557522123894,Equatorial Guinea,0.07964601769911504,-0.008849557522123894,128.0,148.0,-20.0
ABW,0.07079646017699115,Aruba,0.061946902654867256,-0.008849557522123894,145.0,169.0,-24.0
ECU,0.035398230088495575,Ecuador,0.02654867256637168,-0.008849557522123894,190.0,197.0,-7.0
KNA,0.030973451327433628,Saint Kitts and Nevis,0.022123893805309734,-0.008849557522123894,192.0,199.0,-7.0
PRK,0.030973451327433628,"Korea, Democratic People’s Republic",0.022123893805309734,-0.008849557522123894,192.0,199.0,-7.0
ATF,0.008849557522123894,French Southern Territories,0.0,-0.008849557522123894,212.0,224.0,-12.0
DJI,0.08407079646017698,Djibouti,0.07079646017699115,-0.013274336283185834,131.0,158.0,-27.0
MMR,0.05752212389380531,Myanmar,0.04424778761061947,-0.01327433628318584,163.0,184.0,-21.0
AIA,0.017699115044247787,Anguilla,0.004424778761061947,-0.01327433628318584,202.0,219.0,-17.0
TKL,0.01327433628318584,Tokelau,0.0,-0.01327433628318584,207.0,224.0,-17.0
MKD,0.12831858407079647,North Macedonia,0.11504424778761062,-0.013274336283185847,78.0,103.0,-25.0
HTI,0.09734513274336283,Haiti,0.08407079646017698,-0.013274336283185847,116.0,140.0,-24.0
BRN,0.09292035398230089,Brunei Darussalam,0.07964601769911504,-0.013274336283185847,123.0,148.0,-25.0
AFG,0.0752212389380531,Afghanistan,0.061946902654867256,-0.013274336283185847,142.0,169.0,-27.0
CMR,0.18141592920353983,Cameroon,0.16814159292035397,-0.013274336283185861,33.0,57.0,-24.0
CIV,0.16814159292035397,Cote d'Ivoire,0.1504424778761062,-0.01769911504424776,39.0,73.0,-34.0
ETH,0.1415929203539823,Ethiopia,0.12389380530973451,-0.017699115044247787,64.0,93.0,-29.0
MRT,0.10619469026548672,Mauritania,0.08849557522123894,-0.017699115044247787,104.0,137.0,-33.0
FJI,0.10176991150442477,Fiji,0.08407079646017698,-0.017699115044247787,111.0,140.0,-29.0
TKM,0.048672566371681415,Turkmenistan,0.030973451327433628,-0.017699115044247787,176.0,193.0,-17.0
FSM,0.04424778761061947,Micronesia,0.02654867256637168,-0.017699115044247787,182.0,197.0,-15.0
TON,0.035398230088495575,Tonga,0.017699115044247787,-0.017699115044247787,190.0,206.0,-16.0
AGO,0.22123893805309736,Angola,0.20353982300884954,-0.017699115044247815,19.0,39.0,-20.0
EGY,0.16371681415929204,Egypt,0.1415929203539823,-0.02212389380530974,44.0,80.0,-36.0
VEN,0.12389380530973451,Venezuela,0.10176991150442477,-0.02212389380530974,84.0,118.0,-34.0
BIH,0.17256637168141592,Bosnia Herzegovina,0.14601769911504425,-0.026548672566371667,37.0,77.0,-40.0
SEN,0.1415929203539823,Senegal,0.11504424778761062,-0.02654867256637168,64.0,103.0,-39.0
BGD,0.11061946902654868,Bangladesh,0.08407079646017698,-0.026548672566371695,100.0,140.0,-40.0
COG,0.16814159292035397,"Congo, Republic",0.13716814159292035,-0.03097345132743362,39.0,85.0,-46.0
GHA,0.3008849557522124,Ghana,0.26991150442477874,-0.030973451327433676,6.0,15.0,-9.0
ALB,0.1415929203539823,Albania,0.10619469026548672,-0.035398230088495575,64.0,113.0,-49.0
UGA,0.1415929203539823,Uganda,0.10619469026548672,-0.035398230088495575,64.0,113.0,-49.0
BLR,0.12831858407079647,Belarus,0.09292035398230089,-0.035398230088495575,78.0,127.0,-49.0
COM,0.11946902654867256,Comoros,0.07964601769911504,-0.039823008849557515,90.0,148.0,-58.0
SYC,0.19469026548672566,Seychelles,0.15486725663716813,-0.03982300884955753,28.0,70.0,-42.0
DOM,0.13716814159292035,Dominican Republic,0.09292035398230089,-0.044247787610619455,69.0,127.0,-58.0
NCL,0.08407079646017698,New Caledonia,0.030973451327433628,-0.053097345132743355,131.0,193.0,-62.0
PAK,0.17699115044247787,Pakistan,0.12389380530973451,-0.05309734513274336,35.0,93.0,-58.0
VUT,0.09292035398230089,Vanuatu,0.03982300884955752,-0.05309734513274337,123.0,186.0,-63.0
BFA,0.1504424778761062,Burkina Faso,0.09292035398230089,-0.057522123893805316,57.0,127.0,-70.0
DZA,0.12831858407079647,Algeria,0.07079646017699115,-0.057522123893805316,78.0,158.0,-80.0
SYR,0.13716814159292035,Syria,0.0752212389380531,-0.06194690265486724,69.0,155.0,-86.0
FRO,0.08407079646017698,Faeroe Islands,0.017699115044247787,-0.0663716814159292,131.0,206.0,-75.0
IRN,0.12389380530973451,Iran,0.05309734513274336,-0.07079646017699115,84.0,178.0,-94.0
MYT,0.07079646017699115,Mayotte,0.0,-0.07079646017699115,145.0,224.0,-79.0
NER,0.2168141592920354,Niger,0.12831858407079647,-0.08849557522123894,21.0,92.0,-71.0
MOZ,0.1902654867256637,Mozambique,0.10176991150442477,-0.08849557522123894,31.0,118.0,-87.0
ANT,0.09734513274336283,Netherlands Antilles,0.0,-0.09734513274336283,116.0,224.0,-108.0
NGA,0.27876106194690264,Nigeria,0.16371681415929204,-0.1150442477876106,9.0,63.0,-54.0
