ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
BHS,6.406007391190818e-05,Bahamas,0.00023292866782498485,0.00016886859391307667,161.0,124.0,37.0
CYP,0.0005143837179380607,Cyprus,0.0006613138046119587,0.00014693008667389807,99.0,91.0,8.0
BDI,1.4093671982148525e-05,Burundi,0.0001434523418566655,0.00012935866987451698,178.0,134.0,44.0
MDA,0.00018608926591835663,Moldova,0.00029505887338581816,0.00010896960746746153,139.0,120.0,19.0
TUN,7.788637252906881e-05,Tunisia,0.0001772367528061339,9.93503802770651e-05,158.0,131.0,27.0
ISL,0.0001495309071460499,Iceland,0.00024866774876107354,9.913684161502365e-05,144.0,123.0,21.0
GNQ,2.567067356008371e-05,Equatorial Guinea,0.0001214869380193808,9.58162644592971e-05,175.0,138.0,37.0
VGB,1.3461364687420692e-05,British Virgin Islands,0.000104191012745585,9.07296480581643e-05,179.0,142.0,37.0
MLI,0.0002492029470414264,Mali,0.0003333224105326359,8.411946349120951e-05,131.0,115.0,16.0
DMA,0.0,Dominica,8.23589643005591e-05,8.23589643005591e-05,194.0,147.0,47.0
LBY,0.00016875752106637766,Libya,0.0002498332661206814,8.107574505430374e-05,142.0,122.0,20.0
GMB,0.0,Gambia,7.645961263378173e-05,7.645961263378173e-05,194.0,149.0,45.0
BLZ,3.581801592530094e-05,Belize,0.00010915699706414957,7.333898113884863e-05,172.0,141.0,31.0
BGD,0.00043808608603226884,Bangladesh,0.0005109153498100958,7.2829263777827e-05,106.0,101.0,5.0
MAR,0.00038265357316046657,Morocco,0.0004417660092028219,5.9112436042355325e-05,111.0,106.0,5.0
EST,0.00018376582403404433,Estonia,0.0002260440300361658,4.227820600212148e-05,140.0,125.0,15.0
CYM,1.0628043375140198e-05,Cayman Islands,5.2859167012939716e-05,4.223112363779952e-05,182.0,161.0,21.0
MNG,0.0,Mongolia,3.836608188499789e-05,3.836608188499789e-05,194.0,165.0,29.0
IDN,0.0015339418520566963,Indonesia,0.0015713344652186422,3.739261316194594e-05,71.0,76.0,-5.0
SDN,0.0,Former Sudan,3.231778061108514e-05,3.231778061108514e-05,194.0,167.0,27.0
GNB,0.0,Guinea-Bissau,3.18466148525272e-05,3.18466148525272e-05,194.0,169.0,25.0
BMU,1.018581549555001e-06,Bermuda,3.191069476228032e-05,3.0892113212725315e-05,192.0,168.0,24.0
TJK,4.63542364173272e-05,Tajikistan,7.619572807660936e-05,2.9841491659282163e-05,169.0,150.0,19.0
GTM,0.00044490773792509345,Guatemala,0.00047466097134773273,2.9753233422639275e-05,104.0,103.0,1.0
VUT,6.041716800686196e-05,Vanuatu,8.593684117785568e-05,2.5519673170993724e-05,163.0,145.0,18.0
COM,0.0,Comoros,2.0039263002787225e-05,2.0039263002787225e-05,194.0,174.0,20.0
BLM,0.0,Saint-Barthelemy,1.874236395519163e-05,1.874236395519163e-05,194.0,175.0,19.0
ARM,4.981845947975404e-05,Armenia,6.710739871124945e-05,1.728893923149541e-05,168.0,154.0,14.0
SLE,8.42982806582956e-06,Sierra Leone,1.6843625328393838e-05,8.413797262564278e-06,184.0,177.0,7.0
SXM,0.0,Sint Maarten (Dutch part),7.737232788628632e-06,7.737232788628632e-06,194.0,183.0,11.0
SSD,0.0,South Sudan,5.050486859729731e-06,5.050486859729731e-06,194.0,184.0,10.0
PYF,5.9389182607442666e-05,French Polynesia,6.388565794849036e-05,4.496475341047691e-06,164.0,157.0,7.0
GUM,7.406699690506552e-06,Guam,1.1406130103953382e-05,3.99943041344683e-06,185.0,179.0,6.0
ALB,5.130215750210021e-05,Albania,5.4503022108245684e-05,3.200864606145471e-06,167.0,160.0,7.0
GIB,5.959297994696225e-07,Gibraltar,3.651912836026801e-06,3.0559830365571786e-06,193.0,185.0,8.0
FRO,0.0,Faeroe Islands,2.9264409795383247e-06,2.9264409795383247e-06,194.0,186.0,8.0
KNA,0.0,Saint Kitts and Nevis,2.5736298535787056e-06,2.5736298535787056e-06,194.0,187.0,7.0
SUR,0.0003894402094747015,Suriname,0.00039086516318026754,1.42495370556605e-06,110.0,109.0,1.0
TLS,0.0,Timor-Leste,6.343768833063723e-07,6.343768833063723e-07,194.0,188.0,6.0
AIA,0.0,Anguilla,0.0,0.0,194.0,189.0,5.0
ATF,0.0,French Southern Territories,0.0,0.0,194.0,189.0,5.0
BES,0.0,Bonaire,0.0,0.0,194.0,189.0,5.0
CCK,0.0,Cocos Islands,0.0,0.0,194.0,189.0,5.0
COK,0.0,Cook Islands,0.0,0.0,194.0,189.0,5.0
CXR,0.0,Christmas Islands,0.0,0.0,194.0,189.0,5.0
ESH,0.0,Western Sahara,0.0,0.0,194.0,189.0,5.0
FSM,0.0,Micronesia,0.0,0.0,194.0,189.0,5.0
GRL,0.0,Greenland,0.0,0.0,194.0,189.0,5.0
IOT,0.0,British Indian Ocean Territory,0.0,0.0,194.0,189.0,5.0
LSO,0.0,Lesotho,0.0,0.0,194.0,189.0,5.0
NFK,0.0,Norfolk Islands,0.0,0.0,194.0,189.0,5.0
NRU,0.0,Nauru,0.0,0.0,194.0,189.0,5.0
PCN,0.0,Pitcairn,0.0,0.0,194.0,189.0,5.0
PLW,0.0,Palau,0.0,0.0,194.0,189.0,5.0
PSE,0.0,State of Palestine,0.0,0.0,194.0,189.0,5.0
SHN,0.0,Saint Helena,0.0,0.0,194.0,189.0,5.0
SPM,0.0,Saint Pierre and Miquelon,0.0,0.0,194.0,189.0,5.0
TCD,0.0,Chad,0.0,0.0,194.0,189.0,5.0
TON,0.0,Tonga,0.0,0.0,194.0,189.0,5.0
TUV,0.0,Tuvalu,0.0,0.0,194.0,189.0,5.0
UMI,0.0,United States Minor Outlying Islands,0.0,0.0,194.0,189.0,5.0
VAT,0.0,Holy See,0.0,0.0,194.0,189.0,5.0
WLF,0.0,Wallis and Futuna Islands,0.0,0.0,194.0,189.0,5.0
